rate,property_type,area,bedRoom,bathroom,balcony,noOfFloor,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,age,feature_score,furnish_score
24691,house,2430.04,4,5,3+,2,North,Sector 109,international city by sobha phase,6.0,0,1,0,0,Relatively New,17,32.0
2778,house,22498.2,9,9,3+,3,North-East,Sector 57,,6.25,0,1,0,0,Newly House,10,57.0
46906,house,1503.01,18,18,3+,4,North-East,Sector 55,private house,7.05,0,0,0,1,Relatively New,8,200.0
25000,house,1800.0,16,16,3+,4,South,Shivaji Nagar,,4.5,0,0,0,0,Relatively New,5,132.5
23699,house,1557.03,4,4,2,2,East,Sector 31,,3.69,1,1,1,0,Mid,11,72.5
25960,house,963.02,7,7,3,4,West,Sushant Lok Phase,,2.5,0,0,0,1,Relatively New,4,61.5
28424,house,1934.98,1,1,No,1,South-West,Sushant Lok Phase,,5.5,0,0,0,1,Old,2,0.5
33333,house,4500.05,4,4,2,2,West,Nirvana Country,unitech deerwood chase,15.0,0,1,0,0,Mid,27,9.5
4490,house,15478.84,3,3,1,2,North-East,Nirvana Country,unitech aspen greens,6.95,0,1,0,0,Mid,27,6.5
14729,house,3869.92,5,5,2,2,North-East,Palam Vihar,ansals palam vihar,5.7,0,0,1,0,Old,17,63.0
25111,house,4500.02,7,5,3+,4,East,Sector 109,international city by sobha phase,11.3,1,1,1,1,Relatively New,10,0.0
25000,house,4500.0,7,5,3+,4,North-East,Sector 109,international city by sobha phase,11.25,1,1,1,0,Relatively New,8,0.0
7309,house,5500.07,4,4,3+,3,North-East,Sector 70A,bptp visionnaire,4.02,1,1,1,0,Relatively New,24,0.0
10556,house,5399.77,4,4,3+,4,East,Sector 109,international city by sobha phase,5.7,1,1,0,0,Relatively New,21,12.0
74074,house,135.0,9,7,3+,3,North,Dharam Colony,,1.0,0,0,1,0,Mid,1,0.0
12000,house,550.0,3,1,1,3,East,Krishna Colony,,0.66,0,0,0,1,Relatively New,4,0.0
10233,house,684.06,3,2,1,2,North-East,Laxman Vihar,huda ashok vihar phase,0.7,1,0,0,0,Newly House,1,0.0
26852,house,540.0,3,3,1,,,Dlf Phase,,1.45,0,0,0,0,Old,2,0.0
8878,house,1070.06,4,3,2,1,East,Ashok Vihar Phase,ashok vihar phase,0.95,0,0,0,0,Old,2,0.0
14286,house,3149.94,9,9,3+,3,,Sector 9A,,4.5,1,0,1,1,Relatively New,7,75.5
8928,house,1008.06,3,1,No,1,,Sector 3,,0.9,0,0,0,0,undefined,0,0.5
8007,house,562.01,3,2,1,1,North-East,Hira Nagar,,0.45,0,0,0,0,Old,6,0.0
11111,house,900.01,4,3,3+,4,North-East,Gopal Nagar,,1.0,0,0,0,1,Relatively New,0,3.5
5698,house,1053.0,5,4,3+,2,North,Jat Colony,farrukhnagar,0.6,1,0,0,0,Relatively New,2,39.0
28283,house,2474.98,7,7,3+,3,South-West,South City,,7.0,1,1,1,0,Mid,26,92.0
