area,property_type,bedRoom,bathroom,balcony,facing,sector,society_name,Price,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score,rate
6578.0,flat,1,1,1,,95,rof ananda,0.25,0,0,0,0,4.0,Newly House,0,0.0,380.0547278808148
7963.0,flat,2,2,3,,89,smart world gems,0.88,1,0,0,0,2.0,Under Construction,8,0.0,1105.111139017958
6593.0,flat,2,2,2,,99,assotech blith,1.15,0,0,0,1,2.0,Newly House,19,22.5,1744.2742302441984
12185.0,flat,3,3,3,,Iffco Chowk,essel tower,1.6,0,0,0,0,4.0,Mid,13,0.0,1313.0898645876077
6789.0,flat,2,2,2,West,99A,raheja vanya,0.85,0,0,0,0,3.0,Under Construction,17,0.0,1252.0253351008985
7500.0,flat,2,2,2,,82A,vatika inxt floors,0.75,0,0,0,0,1.0,undefined,0,0.5,1000.0
7444.0,flat,4,4,3+,,Palam Vihar,palam vihar society,3.35,1,0,0,0,2.0,Newly House,12,2.5,4500.268672756582
8108.0,flat,3,3,3+,North-East,88A,godrej oasis,1.5,0,0,0,0,11.0,Newly House,13,2.5,1850.02466699556
6345.0,flat,4,4,3+,West,91,dlf new town heights,1.65,0,1,0,0,11.0,Mid,16,0.0,2600.472813238771
6967.0,flat,4,4,3+,East,91,dlf new town heights,2.0,1,1,1,0,16.0,Mid,18,0.0,2870.676044208411
6250.0,flat,4,4,3,North-East,Near,sonata group housing society sector manesar,1.75,0,1,0,0,8.0,Newly House,5,0.0,2800.0
7627.0,flat,2,2,2,East,68,supertech hues,0.9,0,0,0,0,1.0,Newly House,8,0.0,1180.0183558410909
6703.0,flat,3,3,3,North-East,70,krrish florence estate,1.25,0,0,0,0,18.0,Under Construction,17,0.0,1864.836640310309
6506.0,flat,3,3,3+,,37C,piedmont taksila heights,1.0,0,0,0,0,8.0,Relatively New,9,23.0,1537.042729787888
6150.0,flat,3,3,No,,Dwarka Expressway Gurgaon,experion heartsong,1.08,0,0,0,0,6.0,Under Construction,0,0.0,1756.0975609756097
8928.0,flat,3,5,3,,85,ss the leaf,2.15,0,0,0,0,2.0,Newly House,0,0.0,2408.1541218637994
12106.0,flat,1,1,1,South,67,mm urbana,1.0,0,0,0,0,17.0,Relatively New,9,0.0,826.0366760284156
13074.0,flat,2,2,3,North-West,70A,aipl zen residences,1.65,0,0,0,0,23.0,Under Construction,21,0.0,1262.0468104635154
8081.0,flat,4,3,3+,North-East,90,dlf regal gardens,1.79,0,0,0,0,10.0,Mid,19,0.0,2215.072392030689
13136.0,flat,3,3,3,,85,godrej air,1.8,0,0,0,0,30.0,Under Construction,16,0.0,1370.2801461632157
10139.0,flat,3,3,3,,Gwal Pahari,suncity vatsal valley,1.45,0,0,0,0,4.0,Under Construction,9,2.5,1430.1213137390275
4731.0,flat,1,1,1,East,Block A Surya Vihar,shree shyam residency,0.22,0,0,0,0,2.0,Relatively New,0,7.5,465.0179666032551
5142.0,flat,2,2,1,,7,project krishna colony,0.36,0,0,0,0,0.0,Relatively New,0,0.0,700.1166861143524
4258.0,flat,2,2,1,,Sohna,mvn athens,0.25,0,0,0,0,0.0,Relatively New,12,0.0,587.1301080319399
7496.0,flat,3,3,3+,,79,mm antalya hills,1.15,1,0,0,0,1.0,Under Construction,0,0.0,1534.1515474919956
1937.888888888889,flat,3,3,No,,Sohna Road,central park flower valley,1.65,0,0,0,0,1.0,undefined,0,0.0,8514.420044722207
12619.0,flat,4,4,3+,North,113,mm capital,2.9,1,1,0,0,11.0,Under Construction,9,0.0,2298.1218797052065
4546.0,flat,2,2,3,,92,ansal heights,0.6,0,0,0,1,11.0,Under Construction,10,0.0,1319.8416190057194
10000.0,flat,3,3,No,West,Malibu Town,malibu towne,2.4,0,0,0,0,0.0,Mid,6,33.5,2400.0
9904.0,flat,2,2,3,,70A,aipl zen residences,1.25,0,0,0,0,19.0,undefined,0,0.5,1262.1163166397416
15003.0,flat,2,2,3+,East,65,mm heights,2.15,0,0,0,0,28.0,undefined,0,0.5,1433.0467239885356
3970.0,flat,2,2,1,,Sohna,hcbs sports ville,0.295,0,0,0,0,4.0,undefined,0,0.0,743.0730478589421
5067.0,flat,2,2,2,East,Sohna,hcbs sports ville,0.38,0,0,0,0,9.0,undefined,0,0.5,749.9506611407144
12500.0,flat,2,2,3,East,Golf Course Road,jmd empire,1.5,0,0,0,0,7.0,undefined,0,0.0,1200.0
4105.0,flat,2,2,1,North-East,4,housing apna enclave,0.39,0,0,0,0,-1.0,undefined,0,0.5,950.0609013398295
6667.0,flat,3,4,No,,99,assotech blith,1.6,0,0,0,0,15.0,undefined,0,0.5,2399.8800059997
8504.0,flat,4,4,3,,68,pareena mi casa,1.7,0,0,0,0,2.0,Newly House,0,0.0,1999.0592662276576
14118.0,flat,3,3,3+,East,54,suncity heights,3.25,0,0,1,0,0.0,Old,25,25.5,2302.025782688766
8450.0,flat,2,2,3,East,111,lotus homz,0.6,0,0,0,0,9.0,Newly House,13,0.0,710.0591715976332
2700.0,flat,2,2,No,West,95,ramson kshitij sec gurugram,0.27,0,0,0,0,1.0,undefined,0,0.5,1000.0
8886.0,flat,2,1,1,,Chakkarpur,maruti vihar colony,0.95,0,0,0,0,1.0,Old,12,6.5,1069.097456673419
2054.6666666666665,flat,2,2,3,North-East,65,mm heights,2.65,1,0,0,0,4.0,Under Construction,7,14.0,12897.469175859833
7643.0,flat,2,2,1,,79,supertech basera,0.36,0,0,0,0,4.0,Under Construction,15,0.0,471.0192332853592
9166.0,flat,2,2,3,,37D,signature global the millennia,0.55,0,0,0,0,3.0,Newly House,0,0.0,600.0436395374209
16923.0,flat,3,3,3,,89,mm soulitude,1.32,0,0,0,0,1.0,Under Construction,18,0.0,780.0035454706613
3975.0,flat,2,2,3,East,99A,raheja vanya,0.59,0,0,0,1,1.0,Under Construction,21,7.5,1484.2767295597484
4705.0,flat,2,2,1,East,Laxman Vihar,ganpati apartment laxman vihar phase,0.45,0,0,0,0,-0.5,Relatively New,8,18.5,956.4293304994686
6225.0,flat,3,3,2,South-East,37D,ramprastha the atrium,0.9,0,0,0,0,13.0,Relatively New,7,40.0,1445.7831325301204
10000.0,flat,2,2,2,East,79,mm golfestate,1.4,1,1,0,0,4.0,undefined,18,23.5,1400.0
6542.0,flat,2,2,3+,East,Sohna,eldeco accolade,0.95,1,0,0,0,6.0,Newly House,0,15.5,1452.1553041883217
2000.0,flat,3,3,3,South-East,65,mm heights,3.0,0,0,0,0,20.0,Under Construction,18,4.0,15000.0
1998.888888888889,flat,3,3,2,,65,mm heights,3.67,0,1,0,0,27.0,Under Construction,8,0.0,18360.200111172875
7500.0,flat,5,6,3+,,82A,vatika sovereign next,3.85,0,1,1,0,6.0,Newly House,27,36.0,5133.333333333333
1999.6666666666667,flat,3,3,3,East,65,mm heights,3.29,0,0,0,0,33.0,Under Construction,9,0.0,16452.74212368728
2053.0,flat,2,2,3,North-East,65,mm heights,2.33,0,0,0,0,35.0,Under Construction,9,27.5,11349.245007306381
