area,property_type,bedRoom,bathroom,balcony,sector,Price,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score
5384.0,flat,3,3,3+,92,0.82,0,0,0,0,High Floor,Relatively New,Low,Low
4582.777777777777,flat,3,3,3,54,5.7,0,0,0,0,Low Floor,Mid,Low,Low
10945.0,flat,1,1,2,63,0.88,0,0,0,0,Mid Floor,Newly House,Low,Low
9851.0,flat,4,4,3,110,4.0,0,0,0,0,High Floor,Newly House,Low,Unfurnished
8075.0,flat,3,4,3,85,1.93,0,1,0,0,Mid Floor,Relatively New,High,Medium
13269.0,flat,4,4,3,113,3.45,1,1,0,0,High Floor,Under Construction,High,Medium
7727.0,flat,3,3,3,56,1.7,1,0,0,0,Mid Floor,Mid,Low,Unfurnished
15998.0,flat,3,5,3+,65,6.15,0,1,0,0,Low Floor,Relatively New,Low,Medium
7865.0,flat,3,3,3+,Palam Vihar,1.4,0,0,0,0,Mid Floor,Old,High,High
7400.0,flat,3,3,2,84,1.48,0,1,0,0,Low Floor,Newly House,High,High
