area,property_type,bedRoom,bathroom,balcony,sector,Study_room,Servant_room,Pooja_room,Other,floor,age,feature_score,furnish_score,price
7149.0,0.0,2,2,4.0,3.0,0,0,0,0,0.0,3.0,1.0,0.0,0.9
9146.0,0.0,4,4,2.0,62.0,0,0,0,0,2.0,2.0,0.0,14.0,1.5
13115.0,0.0,1,1,4.0,78.0,0,0,0,0,1.0,3.0,1.0,0.0,0.8
7396.0,0.0,3,2,0.0,101.0,0,0,0,0,0.0,1.0,2.0,0.0,1.25
5397.0,0.0,2,2,0.0,249.0,0,0,0,0,1.0,3.0,1.0,10.5,0.26
7909.0,0.0,2,2,0.0,249.0,0,0,0,0,0.0,1.0,2.0,19.0,0.42
12920.0,0.0,3,3,1.0,260.0,0,0,0,0,1.0,1.0,1.0,0.0,2.5
4615.0,0.0,3,3,1.0,91.0,0,1,1,0,1.0,0.0,0.0,6.0,0.9
7106.0,0.0,2,2,0.0,108.0,1,0,1,0,2.0,3.0,1.0,12.0,0.42
7692.0,0.0,2,2,0.0,6.0,0,0,0,0,0.0,3.0,1.0,0.0,0.5
5883.0,0.0,2,2,2.0,92.0,1,0,0,0,2.0,3.0,2.0,0.0,0.9
6806.0,0.0,3,3,3.0,104.0,0,1,0,0,1.0,1.0,1.0,0.0,1.3
9502.0,0.0,3,3,2.0,38.0,0,0,0,0,0.0,4.0,2.0,9.5,1.7
6200.0,0.0,4,3,4.0,108.0,0,0,0,0,0.0,4.0,1.0,0.0,1.25
6700.0,0.0,4,4,2.0,97.0,1,1,0,0,2.0,4.0,0.0,13.5,2.91
5750.0,0.0,3,4,1.0,16.0,1,1,0,1,1.0,2.0,1.0,12.0,1.15
12526.0,0.0,3,3,2.0,104.0,0,0,1,0,2.0,4.0,0.0,3.5,1.2
12244.0,0.0,2,2,2.0,251.0,0,0,0,0,0.0,1.0,1.0,1.0,1.5
7424.0,0.0,3,3,3.0,249.0,0,0,0,0,2.0,3.0,1.0,0.0,1.3
10361.0,0.0,3,3,2.0,3.0,0,0,0,0,1.0,4.0,2.0,0.0,1.75
6470.0,0.0,2,2,0.0,126.0,1,0,0,0,2.0,3.0,1.0,24.0,0.55
13600.0,0.0,3,3,2.0,76.0,0,0,0,0,0.0,4.0,1.0,0.0,2.5
5308.0,0.0,2,2,0.0,227.0,0,0,0,0,1.0,0.0,1.0,0.0,0.43
5556.0,0.0,3,2,2.0,25.0,0,0,0,0,2.0,0.0,1.0,0.0,0.8
4500.0,0.0,3,3,1.0,160.0,0,0,0,0,0.0,4.0,1.0,0.0,0.45
4666.0,0.0,2,2,0.0,7.0,0,0,0,0,2.0,0.0,1.0,0.0,0.7
1604.888888888889,0.0,4,3,2.0,45.0,0,0,0,0,2.0,4.0,1.0,2.0,1.95
7188.0,0.0,2,2,0.0,106.0,0,0,0,0,1.0,1.0,1.0,13.5,0.45
10828.0,0.0,3,2,2.0,92.0,0,0,0,0,2.0,3.0,1.0,0.5,1.7
6111.0,0.0,3,2,2.0,133.0,0,0,0,0,2.0,2.0,1.0,0.0,1.1
9615.0,0.0,2,2,0.0,101.0,0,0,0,0,2.0,3.0,1.0,0.0,0.5
15000.0,0.0,3,3,2.0,76.0,0,0,0,0,0.0,4.0,0.0,0.0,2.8
15664.0,0.0,3,2,3.0,38.0,1,0,0,0,0.0,4.0,0.0,0.0,1.45
13496.0,0.0,3,3,1.0,72.0,0,0,0,0,2.0,4.0,1.0,0.0,2.2
9463.0,0.0,2,2,1.0,249.0,0,0,0,0,0.0,3.0,0.0,37.0,0.9
7782.0,0.0,2,2,1.0,111.0,0,0,0,0,2.0,1.0,1.0,18.5,0.4
7780.0,0.0,3,3,3.0,90.0,0,0,0,0,2.0,1.0,0.0,42.0,1.35
8043.0,0.0,4,4,4.0,79.0,0,0,0,0,2.0,1.0,1.0,0.5,1.85
6578.0,0.0,1,1,0.0,110.0,0,0,0,0,2.0,1.0,1.0,0.0,0.25
7963.0,0.0,2,2,2.0,104.0,1,0,0,0,1.0,4.0,1.0,0.0,0.88
6593.0,0.0,2,2,1.0,112.0,0,0,0,1,1.0,1.0,0.0,22.5,1.15
12185.0,0.0,3,3,2.0,174.0,0,0,0,0,2.0,0.0,2.0,0.0,1.6
6789.0,0.0,2,2,1.0,113.0,0,0,0,0,2.0,4.0,2.0,0.0,0.85
7500.0,0.0,2,2,1.0,97.0,0,0,0,0,1.0,3.0,1.0,0.5,0.75
7444.0,0.0,4,4,3.0,218.0,1,0,0,0,1.0,1.0,2.0,2.5,3.35
8108.0,0.0,3,3,3.0,102.0,0,0,0,0,0.0,1.0,2.0,2.5,1.5
6345.0,0.0,4,4,3.0,107.0,0,1,0,0,0.0,0.0,2.0,0.0,1.65
6967.0,0.0,4,4,3.0,107.0,1,1,1,0,0.0,0.0,2.0,0.0,2.0
6250.0,0.0,4,4,2.0,203.0,0,1,0,0,2.0,1.0,1.0,0.0,1.75
7627.0,0.0,2,2,1.0,80.0,0,0,0,0,1.0,1.0,1.0,0.0,0.9
6703.0,0.0,3,3,2.0,83.0,0,0,0,0,0.0,4.0,2.0,0.0,1.25
6506.0,0.0,3,3,3.0,44.0,0,0,0,0,2.0,3.0,1.0,23.0,1.0
6150.0,0.0,3,3,4.0,156.0,0,0,0,0,2.0,4.0,1.0,0.0,1.08
8928.0,0.0,3,5,2.0,100.0,0,0,0,0,1.0,1.0,1.0,0.0,2.15
12106.0,0.0,1,1,0.0,78.0,0,0,0,0,0.0,3.0,1.0,0.0,1.0
13074.0,0.0,2,2,2.0,84.0,0,0,0,0,0.0,4.0,0.0,0.0,1.65
8081.0,0.0,4,3,3.0,106.0,0,0,0,0,2.0,0.0,0.0,0.0,1.79
13136.0,0.0,3,3,2.0,100.0,0,0,0,0,0.0,4.0,2.0,0.0,1.8
10139.0,0.0,3,3,2.0,169.0,0,0,0,0,2.0,4.0,1.0,2.5,1.45
4731.0,0.0,1,1,0.0,139.0,0,0,0,0,1.0,3.0,1.0,7.5,0.22
5142.0,0.0,2,2,0.0,82.0,0,0,0,0,1.0,3.0,1.0,0.0,0.36
4258.0,0.0,2,2,0.0,249.0,0,0,0,0,1.0,3.0,2.0,0.0,0.25
7496.0,0.0,3,3,3.0,92.0,1,0,0,0,1.0,4.0,1.0,0.0,1.15
1937.888888888889,0.0,3,3,4.0,251.0,0,0,0,0,1.0,1.0,1.0,0.0,1.65
12619.0,0.0,4,4,3.0,14.0,1,1,0,0,0.0,4.0,1.0,0.0,2.9
4546.0,0.0,2,2,2.0,108.0,0,0,0,1,0.0,4.0,1.0,0.0,0.6
10000.0,0.0,3,3,4.0,193.0,0,0,0,0,1.0,0.0,1.0,33.5,2.4
9904.0,0.0,2,2,2.0,84.0,0,0,0,0,0.0,3.0,1.0,0.5,1.25
15003.0,0.0,2,2,3.0,76.0,0,0,0,0,0.0,3.0,1.0,0.5,2.15
3970.0,0.0,2,2,0.0,249.0,0,0,0,0,2.0,3.0,1.0,0.0,0.295
5067.0,0.0,2,2,1.0,249.0,0,0,0,0,2.0,3.0,1.0,0.5,0.38
12500.0,0.0,2,2,2.0,164.0,0,0,0,0,2.0,3.0,1.0,0.0,1.5
4105.0,0.0,2,2,0.0,49.0,0,0,0,0,3.0,2.0,1.0,0.5,0.39
6667.0,0.0,3,4,4.0,112.0,0,0,0,0,0.0,4.0,1.0,0.5,1.6
8504.0,0.0,4,4,2.0,80.0,0,0,0,0,1.0,1.0,1.0,0.0,1.7
14118.0,0.0,3,3,3.0,64.0,0,0,1,0,1.0,2.0,0.0,25.5,3.25
8450.0,0.0,2,2,2.0,12.0,0,0,0,0,2.0,1.0,2.0,0.0,0.6
2700.0,0.0,2,2,4.0,110.0,0,0,0,0,1.0,3.0,1.0,0.5,0.27
8886.0,0.0,2,1,0.0,145.0,0,0,0,0,1.0,2.0,2.0,6.5,0.95
2054.6666666666665,0.0,2,2,2.0,76.0,1,0,0,0,2.0,4.0,1.0,14.0,2.65
7643.0,0.0,2,2,0.0,92.0,0,0,0,0,2.0,4.0,2.0,0.0,0.36
9166.0,0.0,2,2,2.0,45.0,0,0,0,0,2.0,1.0,1.0,0.0,0.55
16923.0,0.0,3,3,2.0,104.0,0,0,0,0,1.0,4.0,2.0,0.0,1.32
3975.0,0.0,2,2,2.0,113.0,0,0,0,1,1.0,4.0,0.0,7.5,0.59
4705.0,0.0,2,2,0.0,185.0,0,0,0,0,3.0,3.0,1.0,18.5,0.45
6225.0,0.0,3,3,1.0,45.0,0,0,0,0,0.0,3.0,1.0,40.0,0.9
10000.0,0.0,2,2,1.0,92.0,1,1,0,0,2.0,3.0,2.0,23.5,1.4
6542.0,0.0,2,2,3.0,249.0,1,0,0,0,2.0,1.0,1.0,15.5,0.95
2000.0,0.0,3,3,2.0,76.0,0,0,0,0,0.0,4.0,2.0,4.0,3.0
1998.888888888889,0.0,3,3,1.0,76.0,0,1,0,0,0.0,4.0,1.0,0.0,3.67
7500.0,0.0,5,6,3.0,97.0,0,1,1,0,2.0,1.0,0.0,36.0,3.85
1999.6666666666667,0.0,3,3,2.0,76.0,0,0,0,0,0.0,4.0,1.0,0.0,3.29
2053.0,0.0,2,2,2.0,76.0,0,0,0,0,0.0,4.0,1.0,27.5,2.33
14168.0,0.0,3,3,2.0,76.0,0,0,0,0,0.0,4.0,1.0,0.0,2.79
11724.0,0.0,4,4,2.0,51.0,0,0,0,0,1.0,3.0,1.0,0.5,3.4
7272.0,0.0,2,2,0.0,15.0,0,0,0,1,1.0,3.0,1.0,28.5,0.72
7036.0,0.0,2,2,0.0,3.0,0,0,0,0,2.0,3.0,1.0,10.0,0.4
4105.0,0.0,2,2,1.0,110.0,0,0,0,0,2.0,3.0,2.0,18.5,0.56
6790.0,0.0,3,3,2.0,85.0,0,0,0,1,0.0,3.0,0.0,0.0,1.1
5420.0,0.0,2,2,2.0,45.0,0,0,0,1,2.0,1.0,2.0,0.0,0.71
6024.0,0.0,2,2,3.0,92.0,0,0,0,1,1.0,1.0,0.0,0.0,0.78
5882.0,0.0,2,2,2.0,44.0,0,0,0,0,2.0,4.0,0.0,0.0,0.4
11716.0,0.0,3,2,1.0,14.0,0,0,0,0,2.0,1.0,1.0,0.0,1.85
12181.0,0.0,2,2,0.0,1.0,0,0,0,0,2.0,4.0,0.0,0.0,1.1
12250.0,0.0,2,2,1.0,72.0,1,0,0,0,1.0,4.0,2.0,0.0,1.41
7455.0,0.0,3,3,2.0,92.0,0,0,0,0,2.0,3.0,1.0,14.0,1.45
13500.0,0.0,3,3,1.0,72.0,0,0,0,0,1.0,4.0,1.0,0.0,2.2
9909.0,0.0,2,2,2.0,38.0,0,0,0,0,2.0,0.0,1.0,41.5,1.1
9876.0,0.0,3,4,3.0,1.0,0,1,0,0,0.0,3.0,0.0,0.0,2.05
5000.0,0.0,3,2,2.0,108.0,0,0,0,0,2.0,0.0,1.0,18.0,0.6
4820.0,0.0,2,3,2.0,104.0,1,0,0,1,2.0,4.0,2.0,0.0,0.8
7032.0,0.0,2,2,1.0,99.0,0,0,0,0,2.0,1.0,1.0,16.5,0.41
5548.0,0.0,3,3,2.0,87.0,0,1,0,0,2.0,4.0,0.0,0.0,0.9
5888.0,0.0,2,2,0.0,183.0,0,0,0,0,2.0,3.0,1.0,6.5,0.54
7585.0,0.0,3,2,1.0,40.0,0,0,0,0,1.0,1.0,1.0,0.0,0.82
6734.0,0.0,3,3,3.0,85.0,0,0,0,0,2.0,3.0,1.0,15.5,1.0
9024.0,0.0,3,4,2.0,66.0,0,1,0,0,2.0,2.0,2.0,20.0,1.85
8000.0,0.0,3,3,1.0,98.0,0,0,0,0,1.0,3.0,0.0,22.5,1.42
9166.0,0.0,2,2,2.0,45.0,0,0,0,0,2.0,1.0,2.0,0.0,0.55
15980.0,0.0,2,2,2.0,76.0,1,0,0,0,2.0,4.0,1.0,0.0,2.29
10601.0,0.0,2,2,1.0,1.0,0,0,0,0,0.0,4.0,1.0,7.5,0.97
3111.111111111112,0.0,3,4,2.0,63.0,0,1,0,0,2.0,4.0,2.0,14.0,8.25
4444.0,0.0,2,2,0.0,126.0,0,0,0,0,1.0,3.0,1.0,5.5,0.3
14335.0,0.0,2,2,2.0,38.0,0,0,0,0,1.0,4.0,2.0,0.0,1.65
15793.0,0.0,2,2,1.0,76.0,0,0,0,0,0.0,4.0,1.0,0.0,1.99
12500.0,0.0,2,2,2.0,80.0,0,0,0,0,0.0,3.0,2.0,0.0,1.0
